,Premise 1,Conclusion,GPT-4,GPT-3.5
170,ant,louse,8.0,8.809187700095567
171,ant,maybug,7.0,10.990309905922686
172,ant,mosquito,7.0,9.259038870337001
173,ant,moth,5.0,9.73087417009792
174,ant,spider,6.5,10.222465913655611
175,ant,wasp,13.0,13.723984575152759
176,ant,worm,4.0,8.758467240591969
177,anvil,adjustable spanner,4.0,6.22559861547028
178,anvil,anvil,4.35,6.213929899298726
179,anvil,axe,4.5,8.954610131919258
180,anvil,chisel,6.5,7.164438433729275
181,anvil,crowbar,4.0,8.965537349228804
182,anvil,drill,3.5,4.364155051675867
183,anvil,file,4.0,5.181890090163924
184,anvil,hammer,11.5,12.1706208498879
185,anvil,knife,3.5,4.586711490810513
186,anvil,level,3.5,8.264542957584112
187,anvil,nail,3.0,6.8964755466295
188,anvil,pickaxe,6.0,6.622702226486993
189,anvil,plane,5.0,5.250669975970683
190,anvil,plough,4.0,2.0536833864448267
191,anvil,rope,2.0,2.9787815611758783
192,anvil,saw,3.0,5.347968268593441
193,anvil,screwdriver,2.5,4.288985797137632
194,anvil,shovel,4.5,4.803941202292728
195,anvil,tongs,5.0,10.000470282584068
196,anvil,wheelbarrow,3.0,3.8512322650391244
197,anvil,wrench,4.0,6.305582503149721
198,apron,apron,2.4107142857142856,7.454691078608747
199,apron,bottle,2.0,5.808649017907052
200,apron,bowl,2.5,9.090031094614744
201,apron,colander,2.0,8.075360254254665
202,apron,fork,2.0,7.052390957357631
203,apron,fridge,2.0,0.40849096158215314
204,apron,glass,2.0,6.796073807898225
205,apron,grater,2.0,8.297587987845787
206,apron,kettle,2.0,8.710721660628614
207,apron,knife,2.0,7.457835644453705
208,apron,mixer,2.5,7.55925840897204
209,apron,mug,2.0,8.105205691911992
210,apron,nutcracker,2.0,7.658987265804954
211,apron,oven,2.0,2.732968512992808
212,apron,pan,2.5,9.759320489543613
213,apron,percolator,2.0,8.41401432989658
214,apron,plate,2.0,7.3812742494015255
215,apron,pot,2.0,9.309618356582355
216,apron,scale,2.0,7.9047490061782515
217,apron,scissors,2.0,6.07652326427242
218,apron,sieve,2.5,8.702613808175148
219,apron,spatula,2.5,9.535774939110738
220,apron,spoon,2.0,8.311839515468622
221,apron,stove,2.0,6.728306165886243
222,apron,teaspoon,2.0,6.499126035057014
223,apron,toaster,2.0,5.586428582649583
224,apron,towel,11.0,9.111976657694642
225,apron,whisk,2.0,8.519581070717393
226,apron,wok,2.0,9.136642464186394
227,axe,adjustable spanner,4.0,9.201761100746896
228,axe,anvil,4.5,8.954610131919258
229,axe,axe,6.5,9.955375473798242
230,axe,bazooka,2.0,7.327390279856038
231,axe,bow,4.5,10.077096967717512
232,axe,canon,3.0,7.076070094029728
233,axe,chisel,11.0,11.8080272105762
234,axe,club,13.0,11.89749590567771
235,axe,crowbar,9.0,13.766419673409422
236,axe,dagger,8.0,10.759422175625822
237,axe,drill,8.0,8.513149341621121
238,axe,file,6.5,8.363043088092525
239,axe,grenade,3.0,8.091786734547147
240,axe,hammer,14.0,13.89680698097076
241,axe,knife,14.5,12.529822730372745
242,axe,level,4.0,11.202225856332479
243,axe,nail,4.0,8.322261044793681
244,axe,pickaxe,14.5,16.09241732142673
245,axe,pistol,2.5,8.532499212694193
246,axe,plane,10.0,10.977175456032224
247,axe,plough,5.0,9.32553158116793
248,axe,rifle,3.0,8.577908267133225
249,axe,rope,2.5,6.762140433002024
250,axe,saw,12.0,12.442438645851169
251,axe,screwdriver,4.5,8.5656710037155
252,axe,shield,4.0,9.238027231515652
253,axe,shovel,9.0,12.469713556244582
254,axe,slingshot,3.5,8.01064001986618
255,axe,spear,9.5,13.058168961245268
256,axe,stick,6.5,10.009871446140842
257,axe,sword,12.0,13.260702335831871
258,axe,tank,2.0,3.5585634529131545
259,axe,tongs,3.5,8.980613022701105
260,axe,wheelbarrow,3.5,9.353517330233178
261,axe,whip,3.0,8.309951054151199
262,axe,wrench,4.0,9.125201934783359
263,bagpipe,accordion,10.0,12.352938568681633
264,bagpipe,bagpipe,4.809523809523809,10.34956519558323
265,bagpipe,banjo,4.0,10.978072040585772
266,bagpipe,bassoon,6.0,10.003910599362772
267,bagpipe,cello,3.5,9.585765551587741
268,bagpipe,clarinet,6.0,11.034138777312688
269,bagpipe,cymbals,3.0,8.100299959000266
270,bagpipe,drum,4.0,10.433352561878916
271,bagpipe,flute,7.5,13.833008190330975
272,bagpipe,guitar,4.0,11.04435005570894
273,bagpipe,harmonica,4.5,9.478132118929889
274,bagpipe,harp,4.0,10.793670327020216
275,bagpipe,harpsichord,4.0,8.720265911487528
276,bagpipe,organ,7.5,11.305873808887721
277,bagpipe,piano,3.5,9.58063972624003
278,bagpipe,saxophone,6.0,10.553991527796754
279,bagpipe,synthesizer,4.0,9.807437119377381
280,bagpipe,tambourine,3.0,9.502519448112285
281,bagpipe,triangle,2.0,6.715435927652451
282,bagpipe,trombone,4.5,9.38248662248797
283,bagpipe,trumpet,6.0,11.982756849869743
284,bagpipe,violin,4.0,12.151823414936135
285,banjo,accordion,5.0,11.871607591036497
286,banjo,bagpipe,4.0,10.978072040585772
287,banjo,banjo,4.619047619047619,10.276754081039561
288,banjo,bassoon,4.0,8.841210033972743
289,banjo,cello,5.0,9.562439025172509
290,banjo,clarinet,3.5,9.616187274865654
291,banjo,cymbals,3.5,9.248903027915507
292,banjo,drum,4.0,11.228704714374432
293,banjo,flute,3.5,10.008348824684727
294,banjo,guitar,14.5,15.280893508204525
295,banjo,harmonica,4.5,11.24603740844532
296,banjo,harp,6.0,10.345906006926075
297,banjo,harpsichord,4.5,8.74931638191183
298,banjo,organ,3.0,9.862284898268419
299,banjo,piano,4.5,9.76427005686487
300,banjo,saxophone,3.5,10.772025077344534
301,banjo,synthesizer,3.5,8.86708582374801
302,banjo,tambourine,4.0,10.669852228798664
303,banjo,triangle,2.5,7.61993714366872
304,banjo,trombone,3.5,9.705311845555883
305,banjo,trumpet,3.5,10.789910286005467
306,banjo,violin,7.0,10.783532503480652
307,bassoon,accordion,4.5,11.45803940333704
308,bassoon,bagpipe,6.0,10.003910599362772
309,bassoon,banjo,4.0,8.841210033972743
310,bassoon,bassoon,4.9523809523809526,10.292258133656535
311,bassoon,cello,7.5,14.755651293582225
312,bassoon,clarinet,12.0,14.380934115763852
313,bassoon,cymbals,3.0,8.301395661896102
314,bassoon,drum,3.5,8.918815936058106
315,bassoon,flute,6.0,12.09021208657532
316,bassoon,guitar,3.5,9.31764205354356
317,bassoon,harmonica,4.0,8.665864613922167
318,bassoon,harp,3.5,10.194505283626388
319,bassoon,harpsichord,4.0,9.126444888949955
320,bassoon,organ,4.5,10.166668658429252
321,bassoon,piano,4.5,10.059475793343996
322,bassoon,saxophone,8.0,12.68575726015758
323,bassoon,synthesizer,4.0,8.993009698867535
324,bassoon,tambourine,2.5,8.026693543078586
325,bassoon,triangle,2.0,6.868162485397203
326,bassoon,trombone,7.0,11.391891641890146
327,bassoon,trumpet,5.0,10.417338483131784
328,bassoon,violin,5.0,11.4737972719009
329,bazooka,axe,2.0,7.327390279856038
330,bazooka,bazooka,4.75,7.128253373501717
331,bazooka,bow,4.0,8.57929552039457
332,bazooka,canon,13.5,11.47217547658803
333,bazooka,club,2.0,6.150873832180039
334,bazooka,dagger,2.0,1.0095178735861268
335,bazooka,grenade,12.0,12.042549871359544
336,bazooka,pistol,5.0,9.283083062037088
337,bazooka,rifle,10.0,12.42321877326362
338,bazooka,rope,1.0,1.569023464484851
339,bazooka,shield,2.0,7.7684868507618425
340,bazooka,slingshot,2.5,5.417735919649474
341,bazooka,spear,2.5,8.416355501739375
342,bazooka,stick,1.5,2.0786027647275467
343,bazooka,sword,2.0,7.035847820558779
344,bazooka,tank,12.0,12.151344447191995
345,bazooka,whip,2.0,1.326552517648548
346,beanie,Boot,4.5,9.468963304642713
347,beanie,beanie,5.203703703703703,9.567598892626572
348,beanie,belt,2.0,8.578732805510388
349,beanie,blouse,3.0,8.166066067780923
350,beanie,bra,2.0,6.067639486935398
351,beanie,cap,15.0,13.376124260183776
352,beanie,coat,5.0,9.665423827624245
353,beanie,dress,2.0,7.605890025662276
354,beanie,dungarees,3.0,9.082969524910526
355,beanie,hat,15.0,13.406589778174968
356,beanie,jeans,3.5,10.008004866526594
357,beanie,mittens,10.0,13.382291962507752
358,beanie,panties,2.0,7.56681546103383
359,beanie,pants,3.5,8.802565775741026
360,beanie,pullover,6.0,12.88968892873213
361,beanie,pyjamas,3.5,7.130745048570236
362,beanie,scarf,10.0,11.090186029664508
363,beanie,shirt,4.5,9.372750907265033
364,beanie,shoes,3.5,6.4330199739154565
365,beanie,shorts,4.0,9.698974653425326
366,beanie,skirt,2.0,7.656117926126685
367,beanie,socks,9.0,9.004697421879339
368,beanie,suit,2.0,8.159592395211819
369,beanie,sweater,10.0,14.287773310190875
370,beanie,t-shirt,4.5,9.963433469353738
371,beanie,tie,2.5,7.918869835050172
372,beanie,top,4.5,9.6879463388239
373,beanie,tracksuit,4.0,9.8532967154738
374,beaver,beaver,6.304347826086956,9.815594766303262
375,beaver,cat,7.0,9.57873998011787
376,beaver,cow,6.0,9.883891404725002
377,beaver,deer,7.5,11.801928924047079
378,beaver,dog,8.0,12.474763225550852
379,beaver,donkey,5.0,8.68334564208839
380,beaver,dromedary,4.0,8.965981007769173
381,beaver,elephant,4.5,8.804543413409364
382,beaver,fox,8.0,11.513458465218648
383,beaver,giraffe,3.5,5.444385273267343
384,beaver,hamster,7.5,9.467946553762278
385,beaver,hedgehog,5.5,9.545348715892397
386,beaver,hippopotamus,7.5,8.959425305897494
387,beaver,horse,5.0,10.540692112362063
388,beaver,lion,4.0,8.782292283984306
389,beaver,llama,5.0,9.175587335886155
390,beaver,mouse,10.0,10.784219361233173
391,beaver,rabbit,10.0,12.312702877823934
392,beaver,rhinoceros,4.5,8.847402359962185
393,beaver,sheep,7.0,10.00997833394483
394,beaver,squirrel,11.0,13.03313141881232
395,beaver,tiger,4.5,8.128525804340866
396,beaver,wolf,5.0,11.26343645832026
397,beaver,zebra,5.0,7.756953366559062
398,bee,ant,13.5,14.024581562664919
399,bee,bee,7.913043478260869,11.100322415459262
400,bee,beetle,8.0,11.92000557596435
401,bee,bumblebee,17.0,17.293796937633083
402,bee,butterfly,10.0,14.025945668156092
403,bee,caterpillar,7.0,9.834463450816962
404,bee,centipede,4.0,8.837657836096618
405,bee,cockroach,6.0,8.792644510153686
406,bee,cricket,7.5,10.617048070911741
407,bee,dragonfly,7.5,12.771527935955973
408,bee,earwig,6.0,8.995004006287111
409,bee,flee,8.0,9.385028680161774
410,bee,fly,10.0,13.284179511720211
411,bee,grasshopper,7.5,12.185273692101717
412,bee,horsefly,8.0,10.407970695154363
413,bee,ladybug,8.0,13.392442247938074
414,bee,leech,2.5,8.568737928958196
415,bee,louse,5.0,7.853811379966318
416,bee,maybug,7.5,10.281036319692188
417,bee,mosquito,9.0,9.54757202802494
418,bee,moth,8.0,10.507677489930693
419,bee,spider,4.5,9.59764737178505
420,bee,wasp,15.0,15.906714472323626
421,bee,worm,2.5,7.276648183165332
422,beetle,ant,10.0,13.29400452700252
423,beetle,bee,8.0,11.92000557596435
424,beetle,beetle,8.369565217391305,11.168488806139223
425,beetle,bumblebee,7.5,12.535855775198996
426,beetle,butterfly,8.0,10.226402546168321
427,beetle,caterpillar,7.5,11.0274821177528
428,beetle,centipede,6.5,10.20581575644404
429,beetle,cockroach,12.0,12.5739615422033
430,beetle,cricket,8.0,12.51760438546518
431,beetle,dragonfly,7.0,10.447505642510118
432,beetle,earwig,11.0,11.368581404944251
433,beetle,flee,8.0,9.513566982034295
434,beetle,fly,9.0,11.679919372801574
435,beetle,grasshopper,8.0,12.410869832441
436,beetle,horsefly,8.0,10.145281272201846
437,beetle,ladybug,16.0,14.712228923254852
438,beetle,leech,2.0,8.69531370381501
439,beetle,louse,7.5,8.475839702797249
440,beetle,maybug,16.5,14.609071801041395
441,beetle,mosquito,6.5,9.225545159512665
442,beetle,moth,8.0,11.253062787773544
443,beetle,spider,6.0,10.068378442161402
444,beetle,wasp,8.0,11.432568500749392
445,beetle,worm,3.5,8.536376786964038
446,belt,Boot,6.5,8.741446535837333
447,belt,beanie,2.0,8.578732805510388
448,belt,belt,4.185185185185185,7.881932422179905
449,belt,blouse,2.5,8.134623183076299
450,belt,bra,5.5,8.028445713192887
451,belt,cap,3.5,9.042269520857243
452,belt,coat,4.0,7.45695009215871
453,belt,dress,3.5,6.767179368518589
454,belt,dungarees,4.0,7.92904299786417
455,belt,hat,3.5,8.969310935536573
456,belt,jeans,6.0,8.980473512125858
457,belt,mittens,2.5,6.497294228084719
458,belt,panties,4.0,6.398987336443468
459,belt,pants,6.5,8.734366470978788
460,belt,pullover,2.0,7.785662745306769
461,belt,pyjamas,2.5,2.96673868365011
462,belt,scarf,5.0,9.044184256015019
463,belt,shirt,5.0,8.443457368590183
464,belt,shoes,6.0,7.999995388592476
465,belt,shorts,5.5,7.6576872547955315
466,belt,skirt,4.5,8.1084876634921
467,belt,socks,4.5,6.936954182200342
468,belt,suit,4.5,8.538028025088717
469,belt,sweater,3.0,7.932240530049199
470,belt,t-shirt,2.5,8.272298073297236
471,belt,tie,8.0,9.74652213629048
472,belt,top,3.5,8.43245608555031
473,belt,tracksuit,2.5,6.688340305753957
474,bicycle,Mopeds,15.0,13.720332692447814
475,bicycle,airplane,5.0,4.680646616003114
476,bicycle,bicycle,7.173913043478261,7.854512319844546
477,bicycle,boat,4.5,7.09607199027419
478,bicycle,bus,7.0,8.332610042402562
479,bicycle,car,10.0,9.04064729109562
480,bicycle,carriage,11.0,9.01182198279066
481,bicycle,cart,13.0,11.24769944872601
482,bicycle,helicopter,3.5,5.916362597909023
483,bicycle,hovercraft,5.0,8.098603369575272
484,bicycle,jeep,6.0,7.4061994330789815
485,bicycle,motorbike,15.0,12.650570465326027
486,bicycle,rocket,2.5,2.7919604373537767
487,bicycle,skateboard,11.0,12.326788973586146
488,bicycle,sled,9.0,7.807222300185835
489,bicycle,submarine,2.5,1.9293321636631644
490,bicycle,taxi,7.0,8.503287381199012
491,bicycle,tractor,7.0,6.598735235973999
492,bicycle,trailer,4.0,7.220563729540469
493,bicycle,train,6.0,7.697468574091626
494,bicycle,tram,7.5,8.858743059789669
495,bicycle,truck,5.5,7.019503652686019
496,bicycle,van,6.0,7.413842647454732
497,bicycle,zeppelin,2.0,5.284769271270841
498,blackbird,blackbird,9.91304347826087,11.242835146987632
499,blackbird,canary,13.0,10.862098166789647
500,blackbird,chicken,10.0,10.808343568067151
501,blackbird,crow,15.0,15.328517389761439
502,blackbird,dove,13.0,12.625451530683046
503,blackbird,duck,10.0,10.712376312881668
504,blackbird,eagle,9.0,10.43828970892003
505,blackbird,falcon,8.0,10.331203978237468
506,blackbird,heron,7.5,12.950120788877179
507,blackbird,magpie,14.0,13.25155037837754
508,blackbird,ostrich,5.5,8.613621622427898
509,blackbird,parrot,9.0,10.540978248216026
510,blackbird,peacock,7.5,9.543230032989051
511,blackbird,pelican,6.5,8.90916639325197
512,blackbird,robin,15.0,15.55608071950808
513,blackbird,rooster,10.0,11.100260700346595
514,blackbird,seagull,9.0,8.82444359265919
515,blackbird,sparrow,14.0,15.132238903985533
516,blackbird,stork,7.5,10.880785184512469
517,blackbird,swallow,12.0,14.073072765521715
518,blackbird,swan,10.0,9.084594836580312
519,blackbird,turkey,7.5,10.290676764991286
520,blackbird,vulture,7.0,9.56368693928439
521,blackbird,woodpecker,8.0,9.16441985384587
522,blouse,Boot,3.5,5.104892668178452
523,blouse,beanie,3.0,8.166066067780923
524,blouse,belt,2.5,8.134623183076299
525,blouse,blouse,7.222222222222222,9.673920319315016
526,blouse,bra,8.0,10.764849571888758
527,blouse,cap,4.0,8.644250913944408
528,blouse,coat,8.0,9.322201414034641
529,blouse,dress,12.0,14.065749620021036
530,blouse,dungarees,4.5,9.047865348433005
531,blouse,hat,3.5,8.935775930041764
532,blouse,jeans,6.0,9.92773510805821
533,blouse,mittens,4.0,7.9640442771675115
534,blouse,panties,4.0,8.72635767102293
535,blouse,pants,7.5,9.439135665759357
536,blouse,pullover,12.0,10.80335451942424
537,blouse,pyjamas,6.5,7.9648684943990995
538,blouse,scarf,5.5,10.221517710967358
539,blouse,shirt,17.5,15.358936193937328
540,blouse,shoes,3.5,3.48263081751995
541,blouse,shorts,9.0,11.495463394907949
542,blouse,skirt,7.5,11.64818081563659
543,blouse,socks,4.5,4.9323343180255
544,blouse,suit,6.0,9.424982886467138
545,blouse,sweater,12.0,11.592165429438705
546,blouse,t-shirt,14.5,13.317458168696401
547,blouse,tie,4.0,8.466448215486542
548,blouse,top,18.0,15.74414504069443
549,blouse,tracksuit,4.0,8.499815176496927
550,boat,Mopeds,4.5,5.595653485194418
551,boat,airplane,8.0,8.358497880942707
552,boat,bicycle,4.5,7.09607199027419
553,boat,boat,7.543478260869565,8.174104546317048
554,boat,bus,8.0,8.502209770703853
555,boat,car,9.0,8.70920320013558
556,boat,carriage,9.0,7.5558396667465715
557,boat,cart,9.0,7.628313365744136
558,boat,helicopter,6.5,8.723789866680345
559,boat,hovercraft,15.0,11.200486854401868
560,boat,jeep,5.0,8.536709273474779
561,boat,motorbike,5.0,9.041075764409072
562,boat,rocket,6.5,7.114963351267416
563,boat,skateboard,3.5,4.987995039811906
564,boat,sled,10.0,7.312787883068629
565,boat,submarine,15.0,10.89731055150462
566,boat,taxi,7.0,7.972221657868586
567,boat,tractor,4.5,7.081137692658894
568,boat,trailer,8.0,9.138437824419395
569,boat,train,7.5,8.82121441726385
570,boat,tram,6.5,8.146539177007135
571,boat,truck,7.5,8.884939918136862
572,boat,van,6.0,8.257798158253568
573,boat,zeppelin,8.0,8.441207775323738
574,bottle,apron,2.0,5.808649017907052
575,bottle,bottle,3.5,6.825201111883871
576,bottle,bowl,5.0,9.321958494265067
577,bottle,colander,3.0,8.26029198652702
578,bottle,fork,2.0,5.011154281041648
579,bottle,fridge,3.0,0.44863457686279334
580,bottle,glass,13.0,10.241850576886197
581,bottle,grater,2.5,8.006744170628659
582,bottle,kettle,6.5,9.605876910530698
583,bottle,knife,2.5,5.50735438198989
584,bottle,mixer,4.0,10.069084771124732
585,bottle,mug,8.0,9.836707793765449
586,bottle,nutcracker,2.0,5.355346267185688
587,bottle,oven,2.0,2.4912472912998327
588,bottle,pan,3.0,7.260517183062545
589,bottle,percolator,4.5,8.763448662192907
590,bottle,plate,3.5,6.726218495899474
591,bottle,pot,5.0,9.0769976050569
592,bottle,scale,3.0,8.253228011659141
593,bottle,scissors,2.0,3.562850184567319
594,bottle,sieve,3.0,8.671728170213191
595,bottle,spatula,2.5,8.155714001362044
596,bottle,spoon,3.0,8.292802205627499
597,bottle,stove,2.0,4.201598968763587
598,bottle,teaspoon,2.5,7.090564207488068
599,bottle,toaster,2.0,1.5765246814363993
600,bottle,towel,2.0,3.4407907892076177
601,bottle,whisk,2.5,7.793343833777474
602,bottle,wok,2.0,8.274403612419498
603,bow,axe,4.5,10.077096967717512
604,bow,bazooka,4.0,8.57929552039457
605,bow,bow,5.0625,9.36240933383336
606,bow,canon,4.5,8.983827555634598
607,bow,club,4.0,8.949560528209197
608,bow,dagger,4.5,9.287851881692182
609,bow,grenade,3.0,8.771417259946453
610,bow,pistol,7.0,9.554782260876735
611,bow,rifle,8.0,10.995769281940472
612,bow,rope,3.0,8.447493646347215
613,bow,shield,2.5,9.198778128348838
614,bow,slingshot,12.0,10.398182587468153
615,bow,spear,7.0,11.652528454002493
616,bow,stick,6.0,9.899904490988497
617,bow,sword,5.0,10.214968311064016
618,bow,tank,2.0,6.033632762681024
619,bow,whip,4.0,8.753459704021822
620,bowl,apron,2.5,9.090031094614744
621,bowl,bottle,5.0,9.321958494265067
622,bowl,bowl,5.839285714285714,9.919767483121802
623,bowl,colander,9.0,14.168909223149804
624,bowl,fork,3.5,9.046310779329872
625,bowl,fridge,2.0,0.7872311044870468
