Argument 1-Premise 1,Argument 1-Premise 2,Argument 1-Conclusion,Argument 2-Premise 1,Argument 2-Premise 2,Argument 2-Conclusion,Argument 2 Chosen,participant_id
tiger,,lion,lion,,tiger,0,65bcf5f4bb0e97c27027be33
cello,,violin,violin,,cello,1,65bcf5f4bb0e97c27027be33
rifle,,pistol,pistol,,rifle,0,65bcf5f4bb0e97c27027be33
tiger,,cat,cat,,tiger,1,65bcf5f4bb0e97c27027be33
flute,,pan flute,pan flute,,flute,1,65bcf5f4bb0e97c27027be33
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,1,65bcf5f4bb0e97c27027be33
train,,subway train,subway train,,train,1,65bcf5f4bb0e97c27027be33
turkey,,chicken,chicken,,turkey,0,65bcf5f4bb0e97c27027be33
pants,,jeans,jeans,,pants,1,65bcf5f4bb0e97c27027be33
wolf,,dog,dog,,wolf,1,65bcf5f4bb0e97c27027be33
submarine,,boat,boat,,submarine,0,65bcf5f4bb0e97c27027be33
zebra,,donkey,donkey,,zebra,1,65bcf5f4bb0e97c27027be33
organ,,synthesizer,synthesizer,,organ,1,65bcf5f4bb0e97c27027be33
airplane,,helicopter,helicopter,,airplane,1,65bcf5f4bb0e97c27027be33
zebra,,horse,horse,,zebra,0,65bcf5f4bb0e97c27027be33
stork,,heron,heron,,stork,0,65bcf5f4bb0e97c27027be33
bumblebee,,bee,bee,,bumblebee,0,65bcf5f4bb0e97c27027be33
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,1,65bcf5f4bb0e97c27027be33
saxophone,,trumpet,trumpet,,saxophone,0,65bcf5f4bb0e97c27027be33
whale,,orca,orca,,whale,1,65bcf5f4bb0e97c27027be33
whale,,sperm whale,sperm whale,,whale,1,65bcf5f4bb0e97c27027be33
falcon,,eagle,eagle,,falcon,0,65bcf5f4bb0e97c27027be33
banjo,,guitar,guitar,,banjo,0,65bcf5f4bb0e97c27027be33
wasp,,bumblebee,bumblebee,,wasp,1,65bcf5f4bb0e97c27027be33
sardine,,anchovy,anchovy,,sardine,1,65bcf5f4bb0e97c27027be33
snake,,boa,boa,,snake,1,65bcf5f4bb0e97c27027be33
swan,,duck,duck,,swan,0,65bcf5f4bb0e97c27027be33
organ,,piano,piano,,organ,0,65bcf5f4bb0e97c27027be33
piano,,synthesizer,synthesizer,,piano,1,65bcf5f4bb0e97c27027be33
vulture,,eagle,eagle,,vulture,0,65bcf5f4bb0e97c27027be33
go-cart,,car,car,,go-cart,0,65bcf5f4bb0e97c27027be33
parakeet,,canary,canary,,parakeet,1,65bcf5f4bb0e97c27027be33
blouse,,shirt,shirt,,blouse,0,65bcf5f4bb0e97c27027be33
organ,,piano,piano,,organ,1,5c7bc8ea5a669300172440fc
pants,,jeans,jeans,,pants,1,5c7bc8ea5a669300172440fc
falcon,,eagle,eagle,,falcon,0,5c7bc8ea5a669300172440fc
machine gun,,pistol,pistol,,machine gun,1,5c7bc8ea5a669300172440fc
fruit fly,,fly,fly,,fruit fly,0,5c7bc8ea5a669300172440fc
airplane,,helicopter,helicopter,,airplane,1,5c7bc8ea5a669300172440fc
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,0,5c7bc8ea5a669300172440fc
cello,,violin,violin,,cello,1,5c7bc8ea5a669300172440fc
flute,,pan flute,pan flute,,flute,1,5c7bc8ea5a669300172440fc
crocodile,,alligator,alligator,,crocodile,1,5c7bc8ea5a669300172440fc
whale,,orca,orca,,whale,1,5c7bc8ea5a669300172440fc
swan,,duck,duck,,swan,1,5c7bc8ea5a669300172440fc
wolf,,fox,fox,,wolf,1,5c7bc8ea5a669300172440fc
zebra,,horse,horse,,zebra,0,5c7bc8ea5a669300172440fc
truck,,car,car,,truck,1,5c7bc8ea5a669300172440fc
sparrow,,chickadee,chickadee,,sparrow,1,5c7bc8ea5a669300172440fc
organ,,synthesizer,synthesizer,,organ,1,5c7bc8ea5a669300172440fc
tiger,,cat,cat,,tiger,1,5c7bc8ea5a669300172440fc
tiger,,lion,lion,,tiger,0,5c7bc8ea5a669300172440fc
train,,subway train,subway train,,train,1,5c7bc8ea5a669300172440fc
sparrow,,robin,robin,,sparrow,0,5c7bc8ea5a669300172440fc
turtle,,tortoise,tortoise,,turtle,1,5c7bc8ea5a669300172440fc
turkey,,chicken,chicken,,turkey,0,5c7bc8ea5a669300172440fc
axe,,knife,knife,,axe,0,5c7bc8ea5a669300172440fc
saxophone,,trumpet,trumpet,,saxophone,0,5c7bc8ea5a669300172440fc
go-cart,,car,car,,go-cart,0,5c7bc8ea5a669300172440fc
rooster,,chicken,chicken,,rooster,0,5c7bc8ea5a669300172440fc
trombone,,trumpet,trumpet,,trombone,0,5c7bc8ea5a669300172440fc
horse,,donkey,donkey,,horse,1,5c7bc8ea5a669300172440fc
wolf,,dog,dog,,wolf,1,5c7bc8ea5a669300172440fc
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,0,5c7bc8ea5a669300172440fc
blouse,,shirt,shirt,,blouse,0,5c7bc8ea5a669300172440fc
zebra,,donkey,donkey,,zebra,0,5c7bc8ea5a669300172440fc
rifle,,pistol,pistol,,rifle,1,5c7bc8ea5a669300172440fc
whale,,sperm whale,sperm whale,,whale,1,5c7bc8ea5a669300172440fc
go-cart,,car,car,,go-cart,0,6413573d24d5fbfedfb3fefa
wolf,,fox,fox,,wolf,1,6413573d24d5fbfedfb3fefa
crocodile,,alligator,alligator,,crocodile,1,6413573d24d5fbfedfb3fefa
whale,,sperm whale,sperm whale,,whale,1,6413573d24d5fbfedfb3fefa
tiger,,lion,lion,,tiger,0,6413573d24d5fbfedfb3fefa
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,1,6413573d24d5fbfedfb3fefa
tiger,,cat,cat,,tiger,1,6413573d24d5fbfedfb3fefa
airplane,,helicopter,helicopter,,airplane,1,6413573d24d5fbfedfb3fefa
rooster,,chicken,chicken,,rooster,0,6413573d24d5fbfedfb3fefa
swan,,duck,duck,,swan,1,6413573d24d5fbfedfb3fefa
sparrow,,robin,robin,,sparrow,0,6413573d24d5fbfedfb3fefa
wasp,,bumblebee,bumblebee,,wasp,0,6413573d24d5fbfedfb3fefa
turkey,,chicken,chicken,,turkey,0,6413573d24d5fbfedfb3fefa
turtle,,tortoise,tortoise,,turtle,0,6413573d24d5fbfedfb3fefa
horse,,donkey,donkey,,horse,1,6413573d24d5fbfedfb3fefa
submarine,,boat,boat,,submarine,0,6413573d24d5fbfedfb3fefa
flute,,pan flute,pan flute,,flute,1,6413573d24d5fbfedfb3fefa
axe,,knife,knife,,axe,0,6413573d24d5fbfedfb3fefa
bumblebee,,bee,bee,,bumblebee,0,6413573d24d5fbfedfb3fefa
organ,,piano,piano,,organ,0,6413573d24d5fbfedfb3fefa
zebra,,donkey,donkey,,zebra,0,6413573d24d5fbfedfb3fefa
mouse,,hamster,hamster,,mouse,0,6413573d24d5fbfedfb3fefa
machine gun,,pistol,pistol,,machine gun,1,6413573d24d5fbfedfb3fefa
banjo,,guitar,guitar,,banjo,0,6413573d24d5fbfedfb3fefa
bass guitar,,guitar,guitar,,bass guitar,1,6413573d24d5fbfedfb3fefa
train,,subway train,subway train,,train,1,6413573d24d5fbfedfb3fefa
parakeet,,canary,canary,,parakeet,0,6413573d24d5fbfedfb3fefa
cello,,double bass,double bass,,cello,1,6413573d24d5fbfedfb3fefa
trombone,,trumpet,trumpet,,trombone,0,6413573d24d5fbfedfb3fefa
snake,,boa,boa,,snake,1,6413573d24d5fbfedfb3fefa
recorder,,clarinet,clarinet,,recorder,1,6413573d24d5fbfedfb3fefa
piano,,synthesizer,synthesizer,,piano,1,6413573d24d5fbfedfb3fefa
stork,,heron,heron,,stork,1,6413573d24d5fbfedfb3fefa
fruit fly,,fly,fly,,fruit fly,0,6413573d24d5fbfedfb3fefa
zebra,,horse,horse,,zebra,0,6413573d24d5fbfedfb3fefa
zebra,,horse,horse,,zebra,0,5b88002a7bb9e90001f0703f
wolf,,fox,fox,,wolf,1,5b88002a7bb9e90001f0703f
turkey,,chicken,chicken,,turkey,0,5b88002a7bb9e90001f0703f
mouse,,hamster,hamster,,mouse,0,5b88002a7bb9e90001f0703f
sparrow,,robin,robin,,sparrow,1,5b88002a7bb9e90001f0703f
organ,,synthesizer,synthesizer,,organ,1,5b88002a7bb9e90001f0703f
fruit fly,,fly,fly,,fruit fly,0,5b88002a7bb9e90001f0703f
crocodile,,alligator,alligator,,crocodile,1,5b88002a7bb9e90001f0703f
swan,,duck,duck,,swan,1,5b88002a7bb9e90001f0703f
tiger,,cat,cat,,tiger,1,5b88002a7bb9e90001f0703f
trombone,,trumpet,trumpet,,trombone,0,5b88002a7bb9e90001f0703f
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,1,5b88002a7bb9e90001f0703f
wasp,,bee,bee,,wasp,0,5b88002a7bb9e90001f0703f
bumblebee,,bee,bee,,bumblebee,0,5b88002a7bb9e90001f0703f
snake,,boa,boa,,snake,1,5b88002a7bb9e90001f0703f
saxophone,,trumpet,trumpet,,saxophone,1,5b88002a7bb9e90001f0703f
train,,subway train,subway train,,train,1,5b88002a7bb9e90001f0703f
blouse,,shirt,shirt,,blouse,0,5b88002a7bb9e90001f0703f
falcon,,eagle,eagle,,falcon,0,5b88002a7bb9e90001f0703f
sardine,,anchovy,anchovy,,sardine,1,5b88002a7bb9e90001f0703f
go-cart,,car,car,,go-cart,0,5b88002a7bb9e90001f0703f
horse,,donkey,donkey,,horse,1,5b88002a7bb9e90001f0703f
rifle,,pistol,pistol,,rifle,1,5b88002a7bb9e90001f0703f
organ,,piano,piano,,organ,0,5b88002a7bb9e90001f0703f
piano,,synthesizer,synthesizer,,piano,1,5b88002a7bb9e90001f0703f
tiger,,lion,lion,,tiger,0,5b88002a7bb9e90001f0703f
turtle,,tortoise,tortoise,,turtle,0,5b88002a7bb9e90001f0703f
recorder,,clarinet,clarinet,,recorder,0,5b88002a7bb9e90001f0703f
stork,,heron,heron,,stork,0,5b88002a7bb9e90001f0703f
sparrow,,chickadee,chickadee,,sparrow,0,5b88002a7bb9e90001f0703f
machine gun,,pistol,pistol,,machine gun,1,5b88002a7bb9e90001f0703f
truck,,car,car,,truck,0,5b88002a7bb9e90001f0703f
whale,,orca,orca,,whale,1,5b88002a7bb9e90001f0703f
cello,,double bass,double bass,,cello,1,5b88002a7bb9e90001f0703f
wasp,,bumblebee,bumblebee,,wasp,0,5b88002a7bb9e90001f0703f
recorder,,clarinet,clarinet,,recorder,1,581e0aee4182b600017307ea
turkey,,chicken,chicken,,turkey,1,581e0aee4182b600017307ea
parakeet,,canary,canary,,parakeet,0,581e0aee4182b600017307ea
tiger,,lion,lion,,tiger,1,581e0aee4182b600017307ea
tiger,,cat,cat,,tiger,1,581e0aee4182b600017307ea
train,,subway train,subway train,,train,1,581e0aee4182b600017307ea
wasp,,bumblebee,bumblebee,,wasp,1,581e0aee4182b600017307ea
wolf,,dog,dog,,wolf,1,581e0aee4182b600017307ea
mouse,,hamster,hamster,,mouse,1,581e0aee4182b600017307ea
machine gun,,pistol,pistol,,machine gun,0,581e0aee4182b600017307ea
submarine,,boat,boat,,submarine,0,581e0aee4182b600017307ea
turtle,,tortoise,tortoise,,turtle,1,581e0aee4182b600017307ea
pants,,jeans,jeans,,pants,1,581e0aee4182b600017307ea
bumblebee,,bee,bee,,bumblebee,0,581e0aee4182b600017307ea
wolf,,fox,fox,,wolf,0,581e0aee4182b600017307ea
piano,,synthesizer,synthesizer,,piano,1,581e0aee4182b600017307ea
banjo,,guitar,guitar,,banjo,1,581e0aee4182b600017307ea
flute,,pan flute,pan flute,,flute,0,581e0aee4182b600017307ea
sardine,,anchovy,anchovy,,sardine,1,581e0aee4182b600017307ea
sparrow,,chickadee,chickadee,,sparrow,0,581e0aee4182b600017307ea
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,1,581e0aee4182b600017307ea
fruit fly,,fly,fly,,fruit fly,1,581e0aee4182b600017307ea
organ,,piano,piano,,organ,1,581e0aee4182b600017307ea
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,1,581e0aee4182b600017307ea
blouse,,shirt,shirt,,blouse,1,581e0aee4182b600017307ea
horse,,donkey,donkey,,horse,1,581e0aee4182b600017307ea
cello,,double bass,double bass,,cello,1,581e0aee4182b600017307ea
wasp,,bee,bee,,wasp,1,581e0aee4182b600017307ea
airplane,,helicopter,helicopter,,airplane,0,581e0aee4182b600017307ea
organ,,synthesizer,synthesizer,,organ,1,581e0aee4182b600017307ea
vulture,,eagle,eagle,,vulture,0,581e0aee4182b600017307ea
bass guitar,,guitar,guitar,,bass guitar,0,581e0aee4182b600017307ea
zebra,,donkey,donkey,,zebra,0,581e0aee4182b600017307ea
crocodile,,alligator,alligator,,crocodile,0,581e0aee4182b600017307ea
whale,,sperm whale,sperm whale,,whale,1,581e0aee4182b600017307ea
piano,,synthesizer,synthesizer,,piano,1,5d02a158c8a372001abf3b30
airplane,,helicopter,helicopter,,airplane,1,5d02a158c8a372001abf3b30
rifle,,pistol,pistol,,rifle,1,5d02a158c8a372001abf3b30
tiger,,cat,cat,,tiger,1,5d02a158c8a372001abf3b30
organ,,piano,piano,,organ,0,5d02a158c8a372001abf3b30
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,0,5d02a158c8a372001abf3b30
snake,,boa,boa,,snake,1,5d02a158c8a372001abf3b30
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,1,5d02a158c8a372001abf3b30
machine gun,,pistol,pistol,,machine gun,1,5d02a158c8a372001abf3b30
organ,,synthesizer,synthesizer,,organ,1,5d02a158c8a372001abf3b30
submarine,,boat,boat,,submarine,0,5d02a158c8a372001abf3b30
wolf,,dog,dog,,wolf,1,5d02a158c8a372001abf3b30
stork,,heron,heron,,stork,0,5d02a158c8a372001abf3b30
sardine,,anchovy,anchovy,,sardine,1,5d02a158c8a372001abf3b30
zebra,,donkey,donkey,,zebra,1,5d02a158c8a372001abf3b30
horse,,donkey,donkey,,horse,1,5d02a158c8a372001abf3b30
whale,,orca,orca,,whale,1,5d02a158c8a372001abf3b30
bumblebee,,bee,bee,,bumblebee,0,5d02a158c8a372001abf3b30
blouse,,shirt,shirt,,blouse,0,5d02a158c8a372001abf3b30
fruit fly,,fly,fly,,fruit fly,0,5d02a158c8a372001abf3b30
saxophone,,trumpet,trumpet,,saxophone,0,5d02a158c8a372001abf3b30
wasp,,bumblebee,bumblebee,,wasp,0,5d02a158c8a372001abf3b30
cello,,violin,violin,,cello,0,5d02a158c8a372001abf3b30
train,,subway train,subway train,,train,1,5d02a158c8a372001abf3b30
tiger,,lion,lion,,tiger,0,5d02a158c8a372001abf3b30
swan,,duck,duck,,swan,1,5d02a158c8a372001abf3b30
vulture,,eagle,eagle,,vulture,1,5d02a158c8a372001abf3b30
cello,,double bass,double bass,,cello,0,5d02a158c8a372001abf3b30
turtle,,tortoise,tortoise,,turtle,0,5d02a158c8a372001abf3b30
sparrow,,chickadee,chickadee,,sparrow,1,5d02a158c8a372001abf3b30
banjo,,guitar,guitar,,banjo,0,5d02a158c8a372001abf3b30
truck,,car,car,,truck,1,5d02a158c8a372001abf3b30
trombone,,trumpet,trumpet,,trombone,1,5d02a158c8a372001abf3b30
turkey,,chicken,chicken,,turkey,1,5d02a158c8a372001abf3b30
pants,,jeans,jeans,,pants,1,5d02a158c8a372001abf3b30
vulture,,eagle,eagle,,vulture,0,5ee4a14b578f8a000b384376
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,1,5ee4a14b578f8a000b384376
banjo,,guitar,guitar,,banjo,0,5ee4a14b578f8a000b384376
blouse,,shirt,shirt,,blouse,0,5ee4a14b578f8a000b384376
whale,,orca,orca,,whale,0,5ee4a14b578f8a000b384376
submarine,,boat,boat,,submarine,0,5ee4a14b578f8a000b384376
truck,,car,car,,truck,0,5ee4a14b578f8a000b384376
organ,,synthesizer,synthesizer,,organ,1,5ee4a14b578f8a000b384376
cello,,double bass,double bass,,cello,1,5ee4a14b578f8a000b384376
train,,subway train,subway train,,train,1,5ee4a14b578f8a000b384376
bumblebee,,bee,bee,,bumblebee,0,5ee4a14b578f8a000b384376
parakeet,,canary,canary,,parakeet,1,5ee4a14b578f8a000b384376
fruit fly,,fly,fly,,fruit fly,0,5ee4a14b578f8a000b384376
bass guitar,,guitar,guitar,,bass guitar,0,5ee4a14b578f8a000b384376
piano,,synthesizer,synthesizer,,piano,1,5ee4a14b578f8a000b384376
saxophone,,trumpet,trumpet,,saxophone,1,5ee4a14b578f8a000b384376
cello,,violin,violin,,cello,1,5ee4a14b578f8a000b384376
sparrow,,chickadee,chickadee,,sparrow,1,5ee4a14b578f8a000b384376
zebra,,horse,horse,,zebra,0,5ee4a14b578f8a000b384376
recorder,,clarinet,clarinet,,recorder,0,5ee4a14b578f8a000b384376
machine gun,,pistol,pistol,,machine gun,1,5ee4a14b578f8a000b384376
turkey,,chicken,chicken,,turkey,0,5ee4a14b578f8a000b384376
axe,,knife,knife,,axe,0,5ee4a14b578f8a000b384376
crocodile,,alligator,alligator,,crocodile,1,5ee4a14b578f8a000b384376
zebra,,donkey,donkey,,zebra,0,5ee4a14b578f8a000b384376
tiger,,cat,cat,,tiger,1,5ee4a14b578f8a000b384376
wasp,,bumblebee,bumblebee,,wasp,0,5ee4a14b578f8a000b384376
sparrow,,robin,robin,,sparrow,0,5ee4a14b578f8a000b384376
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,1,5ee4a14b578f8a000b384376
turtle,,tortoise,tortoise,,turtle,1,5ee4a14b578f8a000b384376
falcon,,eagle,eagle,,falcon,0,5ee4a14b578f8a000b384376
wasp,,bee,bee,,wasp,0,5ee4a14b578f8a000b384376
flute,,pan flute,pan flute,,flute,1,5ee4a14b578f8a000b384376
pants,,jeans,jeans,,pants,1,5ee4a14b578f8a000b384376
swan,,duck,duck,,swan,1,5ee4a14b578f8a000b384376
swan,,duck,duck,,swan,0,5e2edcd3744c694aa3fab543
submarine,,boat,boat,,submarine,0,5e2edcd3744c694aa3fab543
sardine,,anchovy,anchovy,,sardine,1,5e2edcd3744c694aa3fab543
wasp,,bee,bee,,wasp,0,5e2edcd3744c694aa3fab543
train,,subway train,subway train,,train,1,5e2edcd3744c694aa3fab543
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,0,5e2edcd3744c694aa3fab543
parakeet,,canary,canary,,parakeet,1,5e2edcd3744c694aa3fab543
cello,,violin,violin,,cello,1,5e2edcd3744c694aa3fab543
saxophone,,trumpet,trumpet,,saxophone,1,5e2edcd3744c694aa3fab543
sparrow,,chickadee,chickadee,,sparrow,1,5e2edcd3744c694aa3fab543
recorder,,clarinet,clarinet,,recorder,1,5e2edcd3744c694aa3fab543
tiger,,cat,cat,,tiger,0,5e2edcd3744c694aa3fab543
turkey,,chicken,chicken,,turkey,0,5e2edcd3744c694aa3fab543
bumblebee,,bee,bee,,bumblebee,1,5e2edcd3744c694aa3fab543
cello,,double bass,double bass,,cello,0,5e2edcd3744c694aa3fab543
trombone,,trumpet,trumpet,,trombone,1,5e2edcd3744c694aa3fab543
axe,,knife,knife,,axe,0,5e2edcd3744c694aa3fab543
machine gun,,pistol,pistol,,machine gun,0,5e2edcd3744c694aa3fab543
snake,,boa,boa,,snake,1,5e2edcd3744c694aa3fab543
zebra,,horse,horse,,zebra,0,5e2edcd3744c694aa3fab543
sparrow,,robin,robin,,sparrow,1,5e2edcd3744c694aa3fab543
crocodile,,alligator,alligator,,crocodile,0,5e2edcd3744c694aa3fab543
pants,,jeans,jeans,,pants,0,5e2edcd3744c694aa3fab543
turtle,,tortoise,tortoise,,turtle,0,5e2edcd3744c694aa3fab543
stork,,heron,heron,,stork,1,5e2edcd3744c694aa3fab543
falcon,,eagle,eagle,,falcon,1,5e2edcd3744c694aa3fab543
piano,,synthesizer,synthesizer,,piano,0,5e2edcd3744c694aa3fab543
rifle,,pistol,pistol,,rifle,1,5e2edcd3744c694aa3fab543
wolf,,fox,fox,,wolf,0,5e2edcd3744c694aa3fab543
organ,,synthesizer,synthesizer,,organ,0,5e2edcd3744c694aa3fab543
flute,,pan flute,pan flute,,flute,0,5e2edcd3744c694aa3fab543
blouse,,shirt,shirt,,blouse,0,5e2edcd3744c694aa3fab543
rooster,,chicken,chicken,,rooster,1,5e2edcd3744c694aa3fab543
bass guitar,,guitar,guitar,,bass guitar,0,5e2edcd3744c694aa3fab543
whale,,sperm whale,sperm whale,,whale,1,5e2edcd3744c694aa3fab543
parakeet,,canary,canary,,parakeet,0,62b44f66a16d45783569fad6
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,1,62b44f66a16d45783569fad6
axe,,knife,knife,,axe,0,62b44f66a16d45783569fad6
go-cart,,car,car,,go-cart,0,62b44f66a16d45783569fad6
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,1,62b44f66a16d45783569fad6
organ,,synthesizer,synthesizer,,organ,1,62b44f66a16d45783569fad6
turkey,,chicken,chicken,,turkey,0,62b44f66a16d45783569fad6
tiger,,cat,cat,,tiger,0,62b44f66a16d45783569fad6
bumblebee,,bee,bee,,bumblebee,0,62b44f66a16d45783569fad6
tiger,,lion,lion,,tiger,0,62b44f66a16d45783569fad6
falcon,,eagle,eagle,,falcon,0,62b44f66a16d45783569fad6
horse,,donkey,donkey,,horse,1,62b44f66a16d45783569fad6
zebra,,horse,horse,,zebra,0,62b44f66a16d45783569fad6
swan,,duck,duck,,swan,0,62b44f66a16d45783569fad6
wasp,,bee,bee,,wasp,0,62b44f66a16d45783569fad6
turtle,,tortoise,tortoise,,turtle,1,62b44f66a16d45783569fad6
sparrow,,chickadee,chickadee,,sparrow,1,62b44f66a16d45783569fad6
stork,,heron,heron,,stork,0,62b44f66a16d45783569fad6
fruit fly,,fly,fly,,fruit fly,0,62b44f66a16d45783569fad6
whale,,orca,orca,,whale,1,62b44f66a16d45783569fad6
machine gun,,pistol,pistol,,machine gun,0,62b44f66a16d45783569fad6
trombone,,trumpet,trumpet,,trombone,0,62b44f66a16d45783569fad6
banjo,,guitar,guitar,,banjo,0,62b44f66a16d45783569fad6
whale,,sperm whale,sperm whale,,whale,1,62b44f66a16d45783569fad6
crocodile,,alligator,alligator,,crocodile,1,62b44f66a16d45783569fad6
submarine,,boat,boat,,submarine,0,62b44f66a16d45783569fad6
organ,,piano,piano,,organ,0,62b44f66a16d45783569fad6
wolf,,dog,dog,,wolf,1,62b44f66a16d45783569fad6
zebra,,donkey,donkey,,zebra,0,62b44f66a16d45783569fad6
flute,,pan flute,pan flute,,flute,1,62b44f66a16d45783569fad6
mouse,,hamster,hamster,,mouse,1,62b44f66a16d45783569fad6
cello,,double bass,double bass,,cello,1,62b44f66a16d45783569fad6
rifle,,pistol,pistol,,rifle,1,62b44f66a16d45783569fad6
wasp,,bumblebee,bumblebee,,wasp,1,62b44f66a16d45783569fad6
piano,,synthesizer,synthesizer,,piano,1,62b44f66a16d45783569fad6
wasp,,bumblebee,bumblebee,,wasp,0,62f8f9a33bc7d6d2915ea840
bumblebee,,bee,bee,,bumblebee,0,62f8f9a33bc7d6d2915ea840
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,1,62f8f9a33bc7d6d2915ea840
organ,,synthesizer,synthesizer,,organ,1,62f8f9a33bc7d6d2915ea840
train,,subway train,subway train,,train,1,62f8f9a33bc7d6d2915ea840
saxophone,,trumpet,trumpet,,saxophone,0,62f8f9a33bc7d6d2915ea840
axe,,knife,knife,,axe,0,62f8f9a33bc7d6d2915ea840
machine gun,,pistol,pistol,,machine gun,0,62f8f9a33bc7d6d2915ea840
go-cart,,car,car,,go-cart,0,62f8f9a33bc7d6d2915ea840
truck,,car,car,,truck,0,62f8f9a33bc7d6d2915ea840
whale,,orca,orca,,whale,1,62f8f9a33bc7d6d2915ea840
cello,,violin,violin,,cello,0,62f8f9a33bc7d6d2915ea840
recorder,,clarinet,clarinet,,recorder,0,62f8f9a33bc7d6d2915ea840
tiger,,lion,lion,,tiger,0,62f8f9a33bc7d6d2915ea840
wasp,,bee,bee,,wasp,0,62f8f9a33bc7d6d2915ea840
falcon,,eagle,eagle,,falcon,0,62f8f9a33bc7d6d2915ea840
airplane,,helicopter,helicopter,,airplane,1,62f8f9a33bc7d6d2915ea840
piano,,synthesizer,synthesizer,,piano,1,62f8f9a33bc7d6d2915ea840
pants,,jeans,jeans,,pants,1,62f8f9a33bc7d6d2915ea840
vulture,,eagle,eagle,,vulture,0,62f8f9a33bc7d6d2915ea840
wolf,,dog,dog,,wolf,0,62f8f9a33bc7d6d2915ea840
sparrow,,chickadee,chickadee,,sparrow,1,62f8f9a33bc7d6d2915ea840
fruit fly,,fly,fly,,fruit fly,0,62f8f9a33bc7d6d2915ea840
