,Premise 1,Conclusion 1,Distractor 1,Conclusion 2,Distractor 2,Participant Group,Conclusion 1 Chosen,Conclusion 2 Chosen,participant_id
275,sparrow,mouse,bus,airplane,hamster,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
276,salmon,sperm whale,horse,pig,whale,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
277,blackbird,polar bear,car,airplane,penguin,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
278,trout,sperm whale,horse,pig,whale,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
279,blackbird,polar bear,bus,airplane,penguin,Distractor 1,True,False,606a5eba8ae3d9d334a69abc
280,pelican,polar bear,van,airplane,penguin,Distractor 2,False,False,5ac2ecb9e1546900019be720
281,salmon,orca,horse,pig,whale,Distractor 2,False,False,5ac2ecb9e1546900019be720
282,snake,alligator,chameleon,lizard,crocodile,Distractor 2,False,True,5ac2ecb9e1546900019be720
283,snake,alligator,toad,frog,crocodile,Distractor 2,True,False,5ac2ecb9e1546900019be720
284,blackbird,polar bear,bus,airplane,penguin,Distractor 2,False,True,5ac2ecb9e1546900019be720
